system,subset,steps,lambda,repeat_index,repeat_number,mean,std,count
tfim,late5,"1600,1700,1800,1900,2000",0.001,14,15,0.009905146041964227,0.000780215354404711,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,14,15,0.010382246508600984,0.000794956894606083,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,14,15,0.010560505207250019,0.0007958486905182765,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,15,16,0.013885344217714373,0.0023564888174788176,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,15,16,0.013461093647646218,0.002204282346141796,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,15,16,0.011628703357337875,0.0020561913079719728,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,15,16,0.01228790033753059,0.0020009339227536516,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,15,16,0.013128891558426652,0.0020302493008165006,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,15,16,0.013965136834327877,0.0019923616313487196,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,15,16,0.01466927211099294,0.002100777474401336,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,15,16,0.015227704176467247,0.002436495674101007,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,15,16,0.009199210952009275,0.0007585591682632554,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,15,16,0.00892031746373324,0.0007089543430151835,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,15,16,0.007686187573586486,0.0006498259988669936,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,15,16,0.00835492819812721,0.0007456968694939267,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,15,16,0.009214734866665178,0.0008195348375697545,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,15,16,0.010058647006258142,0.0008613998790921929,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,15,16,0.010512313037821297,0.0008420412451049155,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,15,16,0.01062638111473218,0.0008674113157181953,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,16,17,0.014028362570484764,0.002210629156021291,5
